abejaip	_ _
abeji	_ a b' e j' I _
abejo	_ a b' e j' oo _
abejoks	_ a b' e j' Oo k s _
abejur	_ a b' e j' U R _
abi	_ a b' I _
abidvi	_ a b' I d' v' i _
abiejose	_ a b' ie j' oo s' E _
abiejuose	_ a b' ie j' uo s' E _
abiem	_ a b' ie m _
abigaliai	_ a b' i g a l' E J _
abipus	_ a b' I p u s _
abipusiai	_ a b' i p u s' e j _
ablakt	_ a b l a k t _
ablaktir	_ a b l a k' t' i r _
abort	_ a b oo r t _
abrad	_ a b r a t _
absoliutin	_ a p s oo l' u t' i n _
absoliutiz	_ a p s oo l' u t' i s _
absorb	_ a p s oo r p _
abstrah	_ a p s t r a h _
abu	_ a b U _
abudu	_ a b U d u _
abuojë	_ a b uo j' ee _
acetilin	_ a ts' e t' i l' i n _
ach	_ A x _
adapt	_ a d a p t _
adinë	_ aA d' i n' ee _
administr	_ a d' m' i n' i s t r _
adopt	_ a d oo p t _
ador	_ a d oo r _
adres	_ a d' r' e s _
adsorb	_ a t s oo r p _
advokata	_ a d v oo k a t a _
aeiou	_ a e j oo w _
aeiu	_ a e j u _
aeiuo	_ a e j uo _
aeo	_ a e oo _
aeou	_ a e oo w _
aer	_ a e r _
aeuo	_ a e uo _
afið	_ a f' i S _
afront	_ a f r oo n t _
agi	_ a g' I _
agit	_ a g' i t _
agrasta	_ a g r a s t a _
agreg	_ a g' r' e k _
aguon	_ a g uo n _
aguona	_ a g uo n A _
agurka	_ a g u r k a _
aha	_ a h A _
ahimsa	_ a h' i m s Aa _
aid	_ a j t _
aie	_ a j' ie _
aiks	_ a j k s _
aiktelë	_ a j k' t' e l' ee _
aikèio	_ a j k' tS' oo _
aikðt	_ a j k S t _
aikðtin	_ a j k' S' t' i n _
aikðtë	_ a j k' S' t' eE _
aiman	_ a j m Aa n _
aip	_ a j p _
aipin	_ a j p' i n _
aisterë	_ a j s' t' e r' ee _
aistrin	_ a j s' t' r' i n _
aisu	_ a j s u _
aisui	_ a j s u j _
aisuvad	_ a j s u v a t _
aitrin	_ a j t' r' i n _
aitrë	_ a j t' r' ee _
aièio	_ a j tS' oo _
aièna	_ a j tS n a _
aiènai	_ a j tS n a j _
aiènais	_ a j tS n a j s _
aiènaið	_ a j tS n a j S _
aièni	_ a j tS' n' i _
aiðkin	_ a j S' k' i n _
aiðkë	_ a j S' k' ee _
aiþ	_ a j S _
aiþë	_ A J Z' ee _
aje	_ a j' E _
ajera	_ a j' e r a _
ajà	_ a j' ea _
ajài	_ a j' ea i _
ajàisu	_ a j' ea i s u _
ajàisui	_ a j' ea i s u j _
ajàièna	_ a j' ea i tS n a _
ajàiènai	_ a j' ea i tS n a j _
ajàiènais	_ a j' ea i tS n a j s _
ajàiènaið	_ a j' ea i tS n a j S _
