gintaras	-	-
labas	-	-
namas	-	-
tauta	-	-
duona	-	-
kaina	-	-
sveiki	-	-
naktis	-	-
dantis	-	-
eiti	-	-
brolis	-	-
tikras	-	-
optika	-	-
izoliacija	-	-
vakaras	-	-
aukštas	-	-
saulė	-	-
tėvas	-	-
ačiū	-	-
darbas	-	-
rytas	-	-
qwerty	-	-
zcgagtp	-	-
mxyzptlk	-	-
xkcd	-	-
wjak	-	-
ios	-	-
iura	-	-
all	-	-
excel	-	-
l	-	-
B	-	-
y	-	-
ą	-	-
lt	-	-
www	-	-
01	-	-
0023	-	-
23:06	-	-
2026 metai	-	-
labas rytas	-	-
vienas du trys keturi penki	-	-
ar tu matai?	-	-
labas rytas, kaip sekasi? viskas gerai.	-	-
windows	-	-
taxi	-	-
namas	50	-
namas	100	-
namas	-	30
namas	-	70
labas rytas	80	60
gintaras	25	50
kompiuteris	-	-
telefonas	-	-
muzika	-	-
zebras	-	-
fjordas	-	-
šiandien	-	-
vėjas	-	-
žmogus	-	-
ūkis	-	-
įdomu	-	-
čia	-	-
eksportas	-	-
valio	-	-
broliai	-	-
bnp	-	-
vrkt	-	-
qjo	-	-
asj	-	-
jtas	-	-
100	-	-
10	-	-
1000000	-	-
ačiū labai	-	-
kaip tau sekasi šiandien	-	-
zcgagtp	70	-
ios	-	80
